dis_name,location,trail,spirit_class,address,latitude,longitude,phone,email,website,social_link,found_date,certificate,amenities
Wilderness Trail Distillery,Kentucky,Kentucky Bourbon Trail,Bourbon / Rum / Rye / Vodka,"4095 Lebanon Road, Danville, Kentucky, 40422",37.620815,-84.826524,859.402.8707,inquiries@wildernesstrailky.com,http://wildernesstraildistillery.com/,"['https://twitter.com/WTDistillery', 'https://www.instagram.com/wildernesstraildistillery/', '']","December 29, 2011",DSP-KY-20005,"['Dog Friendly', 'Event Space', 'Free Parking', 'Gift Certificates', 'Mocktails', 'Outdoor Seating', 'Retail Sales', 'Samples-Tastings', 'Tours', 'Wedding Venue']"
4 Spirits Distillery,,,,"3405 SW Deschutes St, Corvallis, Oregon, 97333",44.530894,-123.268924,,,,,,,['']
3 Howls Distillery,,,,"909 5th Avenue, Seattle, Washington, 98164",47.60621,-122.332071,,,,,,,['']
44° North Distillery,,,,"1775 W. State St. #267, Boise, Idaho, 83702",43.62405,-116.212076,,,,,,,
Nearest Green Distillery,Tennessee,DISCUS / Tennessee Whiskey Trail,Black Owned / Tennessee Whiskey,"3125 US-231 North, Shelbyville, Tennessee, 37160",35.576747,-86.445235,615-928 - 1917,info@nearestgreendistillery.com,https://unclenearest.com/,"['https://twitter.com/%2Funclenearest%2F', 'https://instagram.com/%2Funclenearest%2F', '']",,,"['Event Space', 'Free Parking', 'Gift Certificates', 'Mocktails', 'Retail Sales', 'Samples-Tastings', 'Takes Reservations', 'Tours', 'Wedding Venue']"
8th Day Distillery,,,,"1125 E. Brookside Ave, Indianapolis, Indiana, 46202",39.784529,-86.133356,,,,,,,['']
Town Branch Distillery,Kentucky,Kentucky Bourbon Trail / Lexington,Bourbon / Rye,"401 Cross Street, Lexington, Kentucky, 40508",38.04986,-84.509551,859-255-2337,TownBranchTours@alltech.com,https://www.kentuckyale.com/products/town-branch-bourbon,"['https://twitter.com/KentuckyAle', 'https://instagram.com/kentuckyale', '']",,DSP-KY-15010,"['Cocktails', 'Event Space', 'Retail Sales', 'Samples-Tastings', 'Tours']"
Apple Country Spirits,,,,"6162 Route 21 South, Williamson, New York, 14589",43.223923,-77.186128,,,,,,,
58 and Co.,,,,"329 Acton Mews, London, England, E8 4EF",51.53752,-0.075864,,,,,,,['Certified B Corporation']
2 JAS Distilling,,,,"300 Camp Horne Rd Suite Warehouse, Pittsburgh, Pennsylvania, 15202",40.517728,-80.091339,,,,,,,
Alchemist Distillery,,,,"1237 Brickell Avenue, Miami, Florida, 33131",25.76168,-80.19179,,,,,,,
Kentucky Bourbon Festival,Kentucky,Bardstown,Festivals,"114 North Fifth Street, Bardstown, Kentucky, 40004",37.811145,-85.470753,800-638-4877,info@kybourbonfestival.com,https://kybourbonfestival.com/,"['https://twitter.com/kybourbonfest', '', '']","August 29, 1991",,"['Cocktails', 'Mocktails', 'Retail Sales', 'Samples-Tastings']"
10th Mountain Whiskey And Spirit Company,,,,"227 Bridge St, Vail, Colorado, 81657",39.641173,-106.37389,,,,,,,['']
Arctic Harvest,,,,"4751 Eielson Farm Rd, North Pole, Alaska, 99705",64.656342,-147.145284,,,,,,,
Appalachian Distillery,,,,"3875 Cedar Lakes Dr, Ripley, West Virginia, 25271",38.763701,-81.683895,,,,,,,
Archetype Distillery,,,,"119 S Broadway, Denver, Colorado, 80209",39.71442,-104.987854,,,,,,,
Arizona Craft Beverage,,,,"473½ Elgin Rd, Elgin, Arizona, 85611",31.660952,-110.526182,,,,,,,
Village Garage Distillery,Vermont,Vermont Distilled Spirits Tasting Tour,Bourbon / Rye / Vodka,"107 Depot St, Bennington, Vermont, 05201",42.879539,-73.198109,802-447-7663,info@villagegarage.com,https://villagegarage.com/,"['', 'https://www.instagram.com/villagegaragedistillery/', '']",,DSP-VT-20033,"['Cocktails', 'Dog Friendly', 'EV Charging', 'Event Space', 'Free Parking', 'Free Wifi', 'Gift Certificates', 'Mocktails', 'Outdoor Seating', 'Restaurant', 'Retail Sales', 'RV Parking', 'Samples-Tastings', 'Take-out', 'Takes Reservations', 'Tours']"
Mint Julep Experiences,Kentucky /,Tennessee,Tours & Experiences,"210 W Liberty St., Louisville, Kentucky, 40202",38.252588,-85.754305,502-583-1433,info@mintjuleptours.com,https://mintjuleptours.com/,"['https://twitter.com/mintjuleptours', 'https://www.instagram.com/mintjuleptours/', '']",,,['']
Arizona Craft Distillers Guild,,,,"Phoenix, Arizona, 85007",33.446272,-112.089368,,,,,,,
Filibuster Distillery,Virginia,Virginia Spirits Trail,Bourbon / Gin / Whiskey,"80 Maurertown Mill Rd., Maurertown, Virginia, 22644",38.928966,-78.465515,703-350-7276,sid@filibusterbourbon.com,https://filibusterbourbon.com/,"['https://twitter.com/filibusterdc', 'https://www.instagram.com/filibusterdistillery/', '']",,DSP-VA-20012,"['Cocktails', 'Mocktails', 'Outdoor Seating', 'Retail Sales', 'Samples-Tastings', 'Takes Reservations', 'Tours']"
Huber's Starlight Distillery,Indiana,DISCUS,Bourbon / Brandy / Gin / Liqueur / Rum / Rye / Vodka / Whiskey,"19816 Huber Road, Borden, Indiana, 47106",38.422711,-85.928753,,,https://www.huberwinery.com/starlight-distillery/,"['', 'https://www.instagram.com/starlight_distillery/', '']","December 30, 2000",DSP-IN-31,"['Cocktails', 'Dog Friendly', 'Event Space', 'Free Parking', 'Gift Certificates', 'Mocktails', 'Outdoor Seating', 'Restaurant', 'Retail Sales', 'RV Parking', 'Samples-Tastings', 'Tours', 'Wedding Venue', 'Winery']"
Antler Run Distilling,,,,"3133 Antler Run Rd, Keuka Park, New York, 14478",42.611801,-77.116676,,,,,,,
Neeley Family Distillery,Kentucky,Kentucky Bourbon Trail / The B-Line,Bourbon / Gin / Moonshine / Rum / Vodka / Whiskey,"4360 KY-1130, Sparta, Kentucky, 41086",38.706948,-84.945299,859-394-3258,info@neeleyfamilydistillery.com,https://www.facebook.com/neeleyfamilydistillery/,"['https://twitter.com/NFDistilling', 'https://instagram.com/neeleyfamilydistillery', '']","December 30, 2014",DSP–KY–20039,"['Cocktails', 'Dog Friendly', 'Event Space', 'Free Parking', 'Outdoor Seating', 'Retail Sales', 'Samples-Tastings', 'Tours']"
2Bar Spirits,,,,"2960 4th Ave S, Seattle, Washington, 98134",47.576485,-122.32811,,,,,,,['']
West Fork Whiskey Co.,,,,"10 E 191st St, Westfield, Indiana, 46074",40.064721,-86.159742,(317) 763-5400,contactus@westforkwhiskey.com,https://www.westforkwhiskey.com/,"['https://twitter.com/westforkwhiskey', 'https://instagram.com/westforkwhiskey', 'https://www.tiktok.com/@westforkwhiskey']",,DSP-IN-21104,['']
Stillwagon Distillery,,,,"63848 Seven Devils Road, Charleston, Oregon, 97420",43.334716,-124.334957,253-732-8458,stillwagondistillery@yahoo.com,http://www.stillwagondistillery.com/,"['https://twitter.com/stillwagonsrum', '', '']",,,
Boundary Oak Distillery,Kentucky,Kentucky Bourbon Trail,Bourbon / Moonshine,"2000 Boundary Oak Drive, Radcliff, Kentucky, 40160",37.797429,-85.911161,270-351-2013,info@boundaryoakdistillery.com,http://boundaryoakdistillery.com/,"['https://twitter.com/boundary_oak', 'https://instagram.com/boundaryoakdistillery/', '']",,DSP-KY-20010,"['Samples-Tastings', 'Tours']"
New Riff Distilling,Kentucky,Kentucky Bourbon Trail / The B-Line,American Single Malt / Bourbon / Gin / Rye,"24 Distillery Way, Newport, Kentucky, 41073",39.10066,-84.488905,859-261-7433,tours@newriffdistilling.com,https://newriffdistilling.com/,"['https://twitter.com/newriff', 'https://instagram.com/newriff', 'https://www.tiktok.com/@newriffdistilling']",,DSP-KY-20016,"['Cocktails', 'Event Space', 'Free Parking', 'Mocktails', 'Retail Sales', 'Samples-Tastings', 'Take-out', 'Takes Reservations', 'Tours', 'Wedding Venue']"
Azeo Distillery,,,,"3230 Riverside Avenue, Suite 190, Paso Robles, California, 93446",35.648352,-120.689185,,,,,,DSP-CA-20079,
Alley 6 Craft Distillery,,,,"Healdsburg, California",38.610466,-122.869161,,,,,,,
Arizona Distilling Co.,,,,"601 W University Dr, Tempe, Arizona, 85281",33.421553,-111.947452,,,,,,,
Ascendant Spirits,,,,"Buellton, California",34.613597,-120.192651,,,,,,,
Woodford Reserve Distillery,Kentucky,American Whiskey Trail / DISCUS / Kentucky Bourbon Trail,Bourbon / Rye / Whiskey,"7855 McCracken Pike, Versailles, Kentucky, 40383",38.112483,-84.812568,,,https://www.woodfordreserve.com/,"['https://twitter.com/woodfordreserve', 'https://instagram.com/woodfordreserve', '']","April 29, 1996",DSP-KY-52,"['Cocktails', 'Free Parking', 'Mocktails', ""Nat'l Historic Site"", 'Outdoor Seating', 'Restaurant', 'Retail Sales', 'Samples-Tastings', 'Takes Reservations', 'Tours']"
Dragon's Mouth Distillery,,,,"3219 Northview Dr, Elkhart, Indiana, 46514",41.732744,-85.978318,574.216.3839,orchid@dragonsmouth.io,https://www.dragonsmouth.io/,"['', 'https://instagram.com/dragonsmouthdistillery', '']",,DSP-IN-21084,"['Cocktails', 'Event Space', 'Retail Sales', 'Samples-Tastings', 'Tours', 'Agave', 'Brandy', 'Am. Single Malt Whiskey', 'Moonshine', 'Gin', 'Rum']"
619 Spirits North Park,,,,"3015 Lincoln Ave, San Diego, California, 92104",32.750151,-117.12979,,,,,,,['']
Angel's Envy Distillery,,,,"500 East Main Street, Louisville, Kentucky, 40202",38.255001,-85.743402,,,,,,DSP-KY-20024,['']
Southern Distilling Company,North Carolina,DISCUS,Bourbon / Rye / Whiskey,"211 Jennings Road, Statesville, North Carolina, 28625",35.857045,-80.860638,704-978-7175,Cheers@SouthernDistilling.com,https://www.southerndistillingcompany.com/,"['https://twitter.com/SoDistilling', 'https://www.instagram.com/sodistilling/', '']","June 5, 2013",DSP-NC-20051,"['Cocktails', 'Dog Friendly', 'Event Space', 'Free Parking', 'Free Wifi', 'Gift Certificates', 'Mocktails', 'Retail Sales', 'Samples-Tastings', 'Tours', 'Wedding Venue']"
Ardbeg Distillery,,,,"Port Ellen, Argyll & Bute, Scotland, PA42 7EA",55.630181,-6.187415,,,,,,,['']
117° West Spirits,,,,"Vista, California, 92083",33.200037,-117.242536,,,,,,,['']
Asheville Distilling Company,,,,"12 Old Charlotte Hwy, Asheville, North Carolina, 28803",35.570914,-82.497779,,,,,,,
Altered State Distillery,,,,"1535 W 8th St, Erie, Pennsylvania, 16505",42.114056,-80.117864,,,,,,,['']
Cardinal Spirits,,,,"922 S Morton St, Bloomington, Indiana, 47403",39.156254,-86.536635,812-202-6789,hello@cardinalspirits.com,https://www.cardinalspirits.com/,"['https://twitter.com/CardinalSpirits', 'https://instagram.com/CardinalSpirits', '']","January 31, 2015",DSP-IN-20003,"['Cocktails', 'Event Space', 'Outdoor Seating', 'Restaurant', 'Retail Sales', 'Samples-Tastings', 'Tours']"
39 North Spirits,,,,"936 Chambers Ct, Eagle, Colorado, 81631",39.662242,-106.816271,,,,,,,['']
1350 Distilling,,,,"520 E Pikes Peak Ave, Colorado Springs, Colorado, 80903",38.83402,-104.814625,,,,,,,
Adnams Distillery,,,,"Sole Bay Brewery, E Green, Southwold, England, IP18 6JW",52.327151,1.680971,,,,,,,
All Points West Distillery,,,,"73 Tichenor Street, Newark, New Jersey, 07105",40.723634,-74.174655,,,,,,,
Arizona High Spirits Distillery,,,,"Flagstaff, Arizona",35.198284,-111.651302,,,,,,,
Old Forester Distillery,Kentucky,DISCUS / Kentucky Bourbon Trail / Louisville,Bourbon / Rye,"119 West Main Street, Louisville, Kentucky, 40202",38.256572,-85.752441,502-779-2222,ofdretail@b-f.com,https://www.oldforester.com/,"['https://twitter.com/oldforester', 'https://www.instagram.com/oldforester/', '']","December 13, 1901",DSP-KY-117,"['Cocktails', 'Event Space', 'Gift Certificates', 'Mocktails', 'Retail Sales', 'Samples-Tastings', 'Takes Reservations', 'Tours']"
Axe and the Oak Distillery,,,,"4665 Town Center Dr #140, Colorado Springs, Colorado, 80916",38.837365,-104.741608,,,,,,,
477 Distilling,,,,"825 9th St Unit B, Greeley, Colorado, 80631",40.424252,-104.692229,,,,,,,
Asylum Distillery,,,,"2223 Montana Ave #101, Billings, MT 59101, Billings, Montana, 59101",45.784529,-108.498736,,,,,,DSP-MT-20025,
Atlanta Distillery & Cidery,,,,"1010 Roswell St NE, Marietta, Georgia, 30060",33.950781,-84.522579,,,,,,,
American Freedom Distillery (Horse Soldier Bourbon),Florida,DISCUS,Veteran Owned,"2232 5th Ave S, St. Petersburg, Florida, 33712",27.766236,-82.66383,,,,,,,['']
Alamo Distilling Company,,,,"2030 E Houston St, San Antonio, Texas, 78202",29.424768,-98.464485,,,,,,DSP-TX-20045,['']
Asbury Park Distilling,,,,"808 Asbury Avenue, Asbury Park, New Jersey, 07712",40.220337,-74.012288,,,,,,,
Coalition Whiskey,,,,"6230 Old Lagrange Road, Crestwood, Kentucky, 40014",38.336241,-85.462617,,,https://coalitionwhiskey.com/,"['https://twitter.com/Coalition100Rye', 'https://www.instagram.com/coalitionwhiskey/', '']",,DSP-KY-20004,['']
Alchemy Distillery,,,,"330 South G Street, Arcata, California, 95521",40.858762,-124.089341,,,,,,,
Red River Brewing Company & Distillery,,,,"217 West Main Street, Red River, New Mexico, 87558",36.708813,-105.408112,575-754-4422,info@redriverbrewing.com,https://www.redriverbrewing.com/,"['', 'https://www.instagram.com/redriverbrewingcompany/', '']",,,"['Brewery', 'Cocktails', 'Event Space', 'Free Wifi', 'Mocktails', 'Outdoor Seating', 'Restaurant', 'Retail Sales', 'Samples-Tastings', 'Take-out', 'Takes Reservations', 'Tours']"
Anvil & Forge Brewing and Distilling Company,,,,"619 E Washington St, Springfield, Illinois, 62701",39.801977,-89.647007,,,,,,,
Admiralty Distillers,,,,"3225 West 33rd Street, Port Townsend, Washington, 98368",48.117039,-122.760447,,,,,,,['']
52eighty Distilling,,,,"10488 W Centennial Rd #900, Littleton, Colorado, 80127",39.566955,-105.116942,,,,,,,
AppStrawBrandies Distillery,,,,"11 Sycamore Way, Branford, Connecticut, 06405",41.299603,-72.753204,,,,,,,
A.W. Craft Distillery,,,,"274 Buck Bend #B, Georgetown, Texas, 78628",30.584753,-97.751054,,,,,,,['Not Open to Public']
Anchor Distilling Company,,,,"8411 Market Street, San Francisco, California, 94103",37.77493,-122.419416,,,,,,,
Algodones Distillery,,,,"15 Cll Alfredo, Algodones, New Mexico, 87001",35.382077,-106.485889,,,,,,,
Alchemy Spirit House,,,,"640 S. Main Street, Suite 400, Zionsville, Indiana, 46077",39.945019,-86.2602,,,,,,,['']
Amador Distillery,,,,"5050 Robert J Mathews Pkwy, El Dorado Hills, California, 95762",38.622631,-121.059354,,,,,,,
12.05 Distillery,,,,"636 Virginia Avenue, Indianapolis, Indiana, 46203",39.758137,-86.145723,,,,,,,['']
505 Spirits,,,,New Mexico,0,0,,,,,,,['']
Eastside Distilling,Oregon,Portland,Bourbon / Liqueur / Rum / Rye / Vodka / Whiskey,"1001 Southeast Water Avenue, Portland, Oregon, 97214",45.515251,-122.6662,(971) 888-4264,Info@EastsideDistilling.com,https://www.eastsidedistilling.com/,"['https://twitter.com/eastsidedistill', 'http://instagram.com/eastsidedistilling', '']",,,"['Retail Sales', 'Samples-Tastings', 'Tours']"
American Single Malt Whiskey Commission,Washington,Seattle,Associations / Guilds,"909 5th Avenue, Seattle, Washington, 98164",47.60621,-122.332071,,,,,,,['']
Southern Tier Distilling,New York,NY: Western Distillery Trail,Bourbon / Gin / Rye / Vodka / Whiskey,"2051A Stoneman Cir, Lakewood, New York, 14750",42.088924,-79.348249,716-763-5479 Ext.213,info@southerntierdistilling.com,http://www.southerntierdistilling.com/,"['https://twitter.com/stdcspirits', 'https://www.instagram.com/stdcspirits/', '']","September 29, 2015",DSP-NY-15052,"['Brewery', 'Cocktails', 'Retail Sales', 'Samples-Tastings', 'Tours']"
3BR Distillery,,,,"7 Main Street, Keyport, New Jersey, 07735",40.436846,-74.202937,,,,,,,
"10,000 Drops Craft Distillers",,,,"28 4th Street Northeast, Faribault, Minnesota, 55021",44.295029,-93.267085,,,,,,,
Ann Arbor Distilling Company,,,,"220 Felch St., Ann Arbor, Michigan, 48103",42.286564,-83.75025,,,,,,,
Azar Distilling,,,,"8501 Cover Rd, San Antonio, Texas, 78263",29.337517,-98.312993,,,,,,,['']
Altered Spirits Distillery,,,,"111A Kettle Moraine Dr N, Slinger, Wisconsin, 53086",43.334855,-88.284762,,,,,,,
