dis_name,instagram_link,short_info,region,founded,owner,status,website,open_for_visits,capacity,types,cereals,water,longitude,latitude,url
Amrut,https://www.instagram.com/amrutmalt,,,,,operational,www.amrutdistilleries.com/,Yes,,single malt,,,77.55597,12.9937,https://whiskey-map.com/distillery/amrut/11
Caol Ila,https://www.instagram.com/caolila.distillery,,,,Diageo,operational,www.malts.com/en-gb/distilleries/caol-ila,Yes,6.500.000 l.,single malt,,,-6.10938,55.85446,https://whiskey-map.com/distillery/caol-ila/12
Springbank,https://www.instagram.com/springbank1828,,,,J. & A. Mitchell Co. Ltd.,operational,springbank.scot,Yes,750.000 l.,single malt,,,-5.60896,55.42567,https://whiskey-map.com/distillery/springbank/13
Talisker,https://www.instagram.com/talisker,,,,,operational,www.malts.com/en-row/distilleries/talisker,Yes,,single malt,,,-6.35666,57.30295,https://whiskey-map.com/distillery/talisker/14
Van Winkle,https://www.instagram.com/oldripvanwinkledistillery,,"Kentucky, United States",1977,J.P. Van Winkle and Son,operational,www.oldripvanwinkle.com/,No,,"bourbon, rye",,,-84.87176,38.21533,https://whiskey-map.com/distillery/van-winkle/15
Wild Turkey,https://www.instagram.com/wildturkey,,,,,operational,wildturkeybourbon.com,,,"bourbon, rye","barley, rye, corn",Kentucky River,-84.85321,38.04397,https://whiskey-map.com/distillery/wild-turkey/16
Tuthilltown,https://www.instagram.com/hudsonwhiskey,,,,,operational,www.hudsonwhiskey.com/,Yes,,"bourbon, rye","barley, rye, corn",,-74.17645,41.68683,https://whiskey-map.com/distillery/tuthilltown/17
Ardbeg,https://www.instagram.com/ardbeg,,,,Glenmorangie plc,operational,www.ardbeg.com,Yes,950.000 l.,single malt,,Loch Uigeadail,-6.10816,55.64079,https://whiskey-map.com/distillery/ardbeg/18
Chichibu,https://www.instagram.com/chichibu_distillery,,"Kanto, Japan",2008,,operational,www.nomunication.jp/distillery/chichibu/,,60.000 l.,"blended, single malt",,,139.0544,36.04671,https://whiskey-map.com/distillery/chichibu/19
Bruichladdich,https://www.instagram.com/bruichladdich,,,,Remy Cointreau,operational,www.bruichladdich.com,Yes,1.500.000 l.,single malt,barley,,-6.36226,55.76651,https://whiskey-map.com/distillery/bruichladdich/20
Benrinnes,,,,,Diageo,operational,-,,,single malt,,Scurran and Rowantree Burns,-3.23687,57.44194,https://whiskey-map.com/distillery/benrinnes/21
Balvenie,https://www.instagram.com/thebalvenie,,,,William Grant & Sons Ltd.,operational,www.thebalvenie.com,Yes,5.600.000 l.,single malt,barley,,-3.13126,57.45966,https://whiskey-map.com/distillery/balvenie/22
Cotswolds,https://www.instagram.com/cotswoldsdistillery,,,,"The Cotswold Distilling Company, Ltd.",operational,www.cotswoldsdistillery.com,Yes,,single malt,barley,,-1.56634,52.02562,https://whiskey-map.com/distillery/cotswolds/23
Tomatin,https://www.instagram.com/tomatinwhisky,,,,,operational,tomatin.com,Yes,5.050.000 l.,single malt,,,-4.00878,57.34001,https://whiskey-map.com/distillery/tomatin/24
Knockdhu,https://www.instagram.com/anCnoc_whisky,,,,,operational,ancnoc.com,Yes,1.700.000 l.,single malt,barley,,-2.7587,57.56379,https://whiskey-map.com/distillery/knockdhu/25
Old Pulteney,https://www.instagram.com/oldpulteneymalt,,,,Inver House Distillers,operational,www.oldpulteney.com,Yes,1.000.000 l.,single malt,barley,Loch Hempriggs,-3.08479,58.43539,https://whiskey-map.com/distillery/old-pulteney/26
Benriach,https://www.instagram.com/benriach,,,,,operational,www.benriachdistillery.com,Yes,2.800.000 l.,single malt,barley,local source,-3.29189,57.61127,https://whiskey-map.com/distillery/benriach/27
Bowmore,https://www.instagram.com/bowmore,,,,Morrison Bowmore Distillers Ltd.,operational,www.bowmore.com,Yes,1.700.000 l.,single malt,barley,,-6.28983,55.75688,https://whiskey-map.com/distillery/bowmore/28
Yamazaki,,,"Chubu, Japan",1923,,operational,whisky.suntory.com/en/global,,,single malt,,,135.6745,34.89264,https://whiskey-map.com/distillery/yamazaki/29
Waterford,https://www.instagram.com/waterforddistillery,,,,Mark Reynier,operational,waterfordwhisky.com,Yes,,single malt,barley,,-7.12125,52.26471,https://whiskey-map.com/distillery/waterford/30
Westland,https://www.instagram.com/westlandwhiskey,,,,,operational,www.westlanddistillery.com,,,single malt,,Cedar River Watershed,-122.33439,47.5767,https://whiskey-map.com/distillery/westland/31
Glenmorangie,https://www.instagram.com/glenmorangie,,,,-,operational,www.glenmorangie.com,Yes,,single malt,barley,Tarlogie springs,-4.07361,57.82187,https://whiskey-map.com/distillery/glenmorangie/32
Torabhaig,https://www.instagram.com/torabhaig_distillery,,"Highlands, United Kingdom",2017,,operational,www.torabhaig.com,Yes,,single malt,,,-5.84841,57.11311,https://whiskey-map.com/distillery/torabhaig/33
Penderyn,https://www.instagram.com/penderyn.distillery,,,,,operational,www.penderyn.wales,Yes,700.000 l.,single malt,barley,Brecon Beacons,-3.52386,51.76941,https://whiskey-map.com/distillery/penderyn/34
Glenfiddich,https://www.instagram.com/glenfiddichwhisky,,,,-,operational,www.glenfiddich.com,Yes,13.000.000,single malt,barley,,-3.12862,57.45509,https://whiskey-map.com/distillery/glenfiddich/35
Aberfeldy,https://www.instagram.com/aberfeldy,,,,John Dewar & Sons Ltd.,operational,www.aberfeldy.com,Yes,3.500.000 l.,single malt,barley,The Pitilie Burn,-3.85027,56.62429,https://whiskey-map.com/distillery/aberfeldy/38
Aberargie,https://www.instagram.com/aberargie,,"Lowlands, United Kingdom",2017,,operational,morrisondistillers.com,No,,single malt,,,-3.34923,56.32957,https://whiskey-map.com/distillery/aberargie/39
Aberlour,https://www.instagram.com/aberlour,,,,Pernod Ricard,operational,www.aberlour.com,Yes,3500000 l.,single malt,,,-3.22887,57.46942,https://whiskey-map.com/distillery/aberlour/40
Abhainn Dearg,,,"Islands, United Kingdom",2008,,operational,www.abhainndearg.co.uk,Yes,,single malt,,,-7.04484,58.17066,https://whiskey-map.com/distillery/abhainn-dearg/41
Ailsa Bay,https://www.instagram.com/ailsabay,,"Lowlands, United Kingdom",1963,William Grant & Sons Ltd,operational,www.ailsabay.com,,,single malt,,,-4.83499,55.2612,https://whiskey-map.com/distillery/ailsa-bay/42
Allt-A-Bhainne,,,"Speyside, United Kingdom",1975,,operational,www.chivasspirit.com/AgeGate,,4.000.000 l.,single malt,,,-3.20646,57.39479,https://whiskey-map.com/distillery/allt-a-bhainne/43
Annandale,https://www.instagram.com/annandale_distillery,,"Lowlands, United Kingdom",1836,,operational,www.annandaledistillery.com,,,single malt,,,-3.26045,55.00271,https://whiskey-map.com/distillery/annandale/44
Arbikie,https://www.instagram.com/arbikiedistillery,,,,-,operational,www.arbikie.com,Yes,,rye,"barley, rye, wheat",,-2.52712,56.66535,https://whiskey-map.com/distillery/arbikie/45
Ardmore,https://www.instagram.com/ardmore,,,,Fortune Brands,operational,ardmorewhisky.com,Yes,5.530.000 l.,single malt,,,-2.74531,57.35165,https://whiskey-map.com/distillery/ardmore/46
Ardnahoe,https://www.instagram.com/ardnahoedistillery,,,,-,operational,ardnahoedistillery.com,Yes,,single malt,barley,Loch Ardnahoe,-6.1173,55.86952,https://whiskey-map.com/distillery/ardnahoe/47
Ardnamurchan,https://www.instagram.com/ardnamarchandistillery,,"Highlands, United Kingdom",2014,,operational,www.adelphidistillery.com/,,,single malt,,,-5.94066,56.69181,https://whiskey-map.com/distillery/ardnamurchan/48
Arran,https://www.instagram.com/arranwhiskyofficial,,,,Isle of Arran Distillers Ltd.,operational,www.arranwhisky.com,Yes,750.000 l.,single malt,,,-5.27552,55.69796,https://whiskey-map.com/distillery/arran/49
Auchentoshan,https://www.instagram.com/auchentoshan,,"Lowlands, United Kingdom",1823,,operational,www.auchentoshan.com,,1.800.000 l.,single malt,,,-4.43803,55.92234,https://whiskey-map.com/distillery/auchentoshan/50
Auchroisk,,,,,Diageo,operational,fr.wikipedia.org/wiki/Auchroisk,No,3.100.000 l.,single malt,,,-3.11499,57.54784,https://whiskey-map.com/distillery/auchroisk/51
Aultmore,https://www.instagram.com/aultmore,,,,,operational,www.aultmore.com,,2.100.000 l.,single malt,,,-2.9941,57.61364,https://whiskey-map.com/distillery/aultmore/52
Balblair,https://www.instagram.com/balblairwhisky,,,,Inver House Distillers Ltd.,operational,www.balblair.com,Yes,1.800.000 l.,single malt,,,-4.1811,57.84144,https://whiskey-map.com/distillery/balblair/53
Ballindalloch,https://www.instagram.com/ballindallochdistillery,,,,Macpherson-Grant Family,operational,www.ballindallochdistillery.com,,100000 l.,single malt,,,-3.36855,57.40573,https://whiskey-map.com/distillery/ballindalloch/54
Balmenach,,,"Speyside, United Kingdom",1824,,operational,,,2.000.000 l.,single malt,,,-3.53206,57.32583,https://whiskey-map.com/distillery/balmenach/55
Barra,https://www.instagram.com/isleofbarradistillers,,,,-,in construction,isleofbarradistillers.com,No,,single malt,,,-7.49796,56.97677,https://whiskey-map.com/distillery/barra/56
Ben Nevis,https://www.instagram.com/bennevisdist,,"Highlands, United Kingdom",1825,,operational,www.bennevisdistillery.com,,2.000.000 l.,single malt,,,-5.07442,56.83508,https://whiskey-map.com/distillery/ben-nevis/57
Benromach,https://www.instagram.com/benromach,,,,Gordon & MacPhail,operational,www.benromach.com,Yes,,single malt,barley,Chapelton Spring,-3.61985,57.61389,https://whiskey-map.com/distillery/benromach/58
Bladnoch,https://www.instagram.com/bladnochwhisky,,"Lowlands, United Kingdom",1817,,operational,www.bladnoch.com,Yes,1.500.000 l.,single malt,,,-4.46188,54.85849,https://whiskey-map.com/distillery/bladnoch/59
Blair Athol,,,"Highlands, United Kingdom",1798,,operational,www.blairatholdistillery.com,,2.500.000 l.,single malt,,,-3.72348,56.69914,https://whiskey-map.com/distillery/blair-athol/60
Borders,https://www.instagram.com/thebordersdistillery,,,,,operational,www.thebordersdistillery.com,,,single malt,,,-2.78878,55.42475,https://whiskey-map.com/distillery/borders/61
Royal Brackla,https://www.instagram.com/royalbrackla,,"Highlands, United Kingdom",1812,,operational,www.royalbrackla.com,,3.500.000 l.,single malt,,,-3.90183,57.53897,https://whiskey-map.com/distillery/royal-brackla/62
Braeval,,,"Speyside, United Kingdom",1973,,operational,,,,single malt,,,-3.25883,57.2714,https://whiskey-map.com/distillery/braeval/63
Brewdog,https://www.instagram.com/brewdogofficial,,"Highlands, United Kingdom",2007,,operational,www.brewdog.com,,800.000 l.,single malt,,,-2.05047,57.3697,https://whiskey-map.com/distillery/brewdog/64
Brora,https://www.instagram.com/brorawhisky,,,,,operational,www.malts.com/en-gb/brands/brora,,,single malt,,,-3.86788,58.02502,https://whiskey-map.com/distillery/brora/65
Burn O'Bennie,,,"Highlands, United Kingdom",,,operational,www.burnobennie.com,,,single malt,,,-2.47769,57.06307,https://whiskey-map.com/distillery/burn-obennie/66
Cardhu,https://www.instagram.com/cardhuwhisky,,"Speyside, United Kingdom",1824,,operational,www.cardhudistillery.com,,,single malt,,,-3.34999,57.47064,https://whiskey-map.com/distillery/cardhu/67
Clydeside,https://www.instagram.com/theclydeside,,"Lowlands, United Kingdom",2017,,operational,www.theclydeside.com/,,,single malt,,,-4.29667,55.86243,https://whiskey-map.com/distillery/clydeside/68
Clynelish,https://www.instagram.com/clynelish.distillery,,"Highlands, United Kingdom",1967,,operational,www.malts.com/en-gb/distilleries/clynelish,Yes,4.800.000 l.,single malt,,,-3.86817,58.02391,https://whiskey-map.com/distillery/clynelish/69
Cragganmore,,,"Speyside, United Kingdom",1869,,operational,www.malts.com/en-gb/distilleries/cragganmore,,1.520.000 l.,single malt,,,-3.39554,57.41016,https://whiskey-map.com/distillery/cragganmore/70
Craigellachie,https://www.instagram.com/craigellachie,,"Speyside, United Kingdom",1891,Bacardi Ltd,operational,www.craigellachie.com,No,4.000.000 l.,single malt,,,-3.18491,57.48841,https://whiskey-map.com/distillery/craigellachie/71
Daftmill,https://www.instagram.com/daftmilldistillery,,"Lowlands, United Kingdom",2005,,operational,www.daftmill.com,No,,single malt,,,-3.10402,56.29729,https://whiskey-map.com/distillery/daftmill/72
Dailuaine,,,"Speyside, United Kingdom",1852,,operational,,,3.370.000 l.,single malt,,,-3.27315,57.4525,https://whiskey-map.com/distillery/dailuaine/73
Dalmore,https://www.instagram.com/thedalmore,,,,,operational,www.thedalmore.com,,4.200.000 l.,single malt,,,-4.23887,57.69154,https://whiskey-map.com/distillery/dalmore/74
Dalmunach,,,"Speyside, United Kingdom",2015,,operational,,,,single malt,,,-3.30056,57.45488,https://whiskey-map.com/distillery/dalmunach/75
Dalwhinnie,https://www.instagram.com/dalwhinnie.distillery,,"Speyside, United Kingdom",1898,,operational,www.dalwhinniedistillery.com/,,,single malt,,,-4.2391,56.94009,https://whiskey-map.com/distillery/dalwhinnie/76
Dornoch,https://www.instagram.com/dornochdistillery,,"Highlands, United Kingdom",2017,,operational,www.thompsonbrosdistillers.com,,,single malt,,,-4.03046,57.8795,https://whiskey-map.com/distillery/dornoch/77
Dufftown,,,"Speyside, United Kingdom",1895,,operational,www.diageo.com,,4.000.000 l.,single malt,,,-3.12791,57.43606,https://whiskey-map.com/distillery/dufftown/78
Edradour,https://www.instagram.com/edradourwhisky,,"Highlands, United Kingdom",1825,Signatory Vintage Scotch Whisky Company,operational,edradour.com/,,95.000 l.,single malt,,,-3.70208,56.70143,https://whiskey-map.com/distillery/edradour/79
Fettercairn,https://www.instagram.com/fettercairnwhisky,,"Highlands, United Kingdom",1824,Distell Group Limited,operational,www.fettercairnwhisky.com/,Yes,2.200.000 l.,single malt,barley,Mounth spring,-2.58189,56.85332,https://whiskey-map.com/distillery/fettercairn/80
Glasgow,https://www.instagram.com/glasgowdistillery,,"Lowlands, United Kingdom",2015,,operational,glasgowdistillery.com/,,440.000 l.,single malt,,,-4.36193,55.86663,https://whiskey-map.com/distillery/glasgow/81
Glenallachie,https://www.instagram.com/theglenallachie_,,"Speyside, United Kingdom",1967,The GlenAllachie Distillers Co. Limited,operational,www.theglenallachie.com,Yes,4.000.000 l.,single malt,,,-3.22812,57.45541,https://whiskey-map.com/distillery/glenallachie/82
Glenburgie,,,"Speyside, United Kingdom",1810,,operational,,,4.200.000 l.,single malt,,,-3.51655,57.6218,https://whiskey-map.com/distillery/glenburgie/83
Glencadam,https://www.instagram.com/glencadamwhisky,,"Highlands, United Kingdom",1825,Angus Dundee Distillers,operational,www.glencadamwhisky.com,Yes,1.500.000 l.,single malt,,,-2.6534,56.73624,https://whiskey-map.com/distillery/glencadam/84
Glendronach,https://www.instagram.com/glendronach,,"Highlands, United Kingdom",1826,,operational,glendronachdistillery.com,,1.300.000 l.,single malt,,,-2.62581,57.48457,https://whiskey-map.com/distillery/glendronach/85
Glendullan,,,"Speyside, United Kingdom",1897,,operational,www.diageo.com,,,single malt,,,-3.12049,57.4552,https://whiskey-map.com/distillery/glendullan/86
Glen Elgin,,,"Speyside, United Kingdom",1898,Diageo,operational,-,,1.830.000 l.,single malt,,,-3.27786,57.59939,https://whiskey-map.com/distillery/glen-elgin/87
Glenfarclas,https://www.instagram.com/glenfarclasdistillery,,,,,operational,glenfarclas.com,Yes,4.000.000 l.,single malt,,,-3.31638,57.42709,https://whiskey-map.com/distillery/glenfarclas/88
Glen Garioch,,,"Highlands, United Kingdom",1797,,operational,www.glengarioch.com/experiences,,,single malt,,,-2.31949,57.33823,https://whiskey-map.com/distillery/glen-garioch/89
Glenglassaugh,https://www.instagram.com/glenglassaugh,,"Highlands, United Kingdom",1875,,operational,,,1.000.000 l.,single malt,,,-2.73983,57.68768,https://whiskey-map.com/distillery/glenglassaugh/90
Glengoyne,https://www.instagram.com/glengoyne,,"Highlands, United Kingdom",1833,,operational,www.glengoyne.com,,1.100.000 l.,single malt,,,-4.36326,56.01421,https://whiskey-map.com/distillery/glengoyne/91
Glen Grant,https://www.instagram.com/theglengrantscotch,,"Speyside, United Kingdom",1840,,operational,www.glengrant.com,,5.900.000 l.,single malt,,,-3.21708,57.53157,https://whiskey-map.com/distillery/glen-grant/92
Glengyle,,,,,J & A Mitchell & Co Ltd,operational,kilkerran.scot,Yes,,single malt,,,-5.60874,55.4256,https://whiskey-map.com/distillery/glengyle/93
Glen Keith,,,"Speyside, United Kingdom",1957,,operational,,,3.500.000 l.,single malt,,,-2.95729,57.54693,https://whiskey-map.com/distillery/glen-keith/94
Glenkinchie,https://www.instagram.com/glenkinchie.distillery,,"Lowlands, United Kingdom",1837,Diageo,operational,www.malts.com/en-row/distilleries/glenkinchie,Yes,2.700.000 l.,single malt,,,-2.89131,55.89069,https://whiskey-map.com/distillery/glenkinchie/95
Glenlivet,,,"Speyside, United Kingdom",1824,,operational,www.theglenlivet.com,,10.500.000 l.,single malt,,,-3.34081,57.35472,https://whiskey-map.com/distillery/glenlivet/96
Glenlossie,,,"Speyside, United Kingdom",1971,,operational,flaviar.com/glenlossie/distillery,,,single malt,,,-3.31944,57.59873,https://whiskey-map.com/distillery/glenlossie/97
Glen Moray,https://www.instagram.com/glenmoraywhisky,,,,,operational,www.glenmoray.com,,3.300.000 l.,single malt,barley,,-3.34072,57.64462,https://whiskey-map.com/distillery/glen-moray/98
Glen Ord,,,"Highlands, United Kingdom",1838,,operational,,,12.000.000 l.,single malt,,,-4.47479,57.52221,https://whiskey-map.com/distillery/glen-ord/99
Glenrothes,https://www.instagram.com/theglenrothes,,,,The Edrington Group,operational,www.theglenrothes.com,Yes,,single malt,barley,local source,-3.21567,57.52646,https://whiskey-map.com/distillery/glenrothes/100
Glen Scotia,https://www.instagram.com/glenscotiamalts,,"Campbeltown, United Kingdom",1832,,operational,www.glenscotia.com,,600.000 l.,single malt,,,-5.60417,55.42967,https://whiskey-map.com/distillery/glen-scotia/101
Glen Spey,,,"Speyside, United Kingdom",1878,,operational,,,1.400.000 l.,single malt,,,-3.20984,57.5259,https://whiskey-map.com/distillery/glen-spey/102
Glentauchers,,,"Speyside, United Kingdom",1897,,operational,,,4.500.000 l.,single malt,,,-3.04938,57.53524,https://whiskey-map.com/distillery/glentauchers/103
Glenturret,https://www.instagram.com/theglenturretwhisky,,,,-,operational,www.theglenturret.com,Yes,340.000 l.,"blended, single malt",barley,,-3.85346,56.39016,https://whiskey-map.com/distillery/glenturret/104
Glenwyvis,https://www.instagram.com/glenwyvis,,"Highlands, United Kingdom",2015,,operational,glenwyvis.com,,,single malt,,,-4.45527,57.61509,https://whiskey-map.com/distillery/glenwyvis/105
Harris,https://www.instagram.com/isleofharrisdistillers,,"Islands, United Kingdom",2015,Anderson Bakewell,operational,www.harrisdistillery.com,Yes,,single malt,,,-6.80402,57.89768,https://whiskey-map.com/distillery/harris/106
Highland Park,https://www.instagram.com/highlandparkofficial,,"Islands, United Kingdom",1798,The Edrington Group,operational,www.highlandparkwhisky.com,Yes,2.500.000 l.,single malt,,,-2.95566,58.96788,https://whiskey-map.com/distillery/highland-park/107
Holyrood,https://www.instagram.com/holyrooddistillery,,,,,operational,www.holyrooddistillery.co.uk,Yes,,single malt,barley,,-3.17754,55.94317,https://whiskey-map.com/distillery/holyrood/108
Inchdairnie,https://www.instagram.com/inchdairniedistillery,,"Lowlands, United Kingdom",2011,,operational,www.inchdairniedistillery.com,,,"single malt, rye","barley, rye",,-3.21528,56.18181,https://whiskey-map.com/distillery/inchdairnie/109
Inchgower,,,"Speyside, United Kingdom",1871,,operational,,,1.990.000 l.,single malt,,,-2.96187,57.66177,https://whiskey-map.com/distillery/inchgower/110
Jura,https://www.instagram.com/jurawhisky,,,,Whyte & Mackay Ltd,operational,www.jurawhisky.com,Yes,,single malt,barley,Market Loch,-5.95055,55.83313,https://whiskey-map.com/distillery/jura/111
Kilchoman,https://www.instagram.com/kilchomanwhisky,,,,,operational,www.kilchomandistillery.com,,221.000 l.,single malt,barley,,-6.43033,55.78702,https://whiskey-map.com/distillery/kilchoman/112
Kingsbarns,https://www.instagram.com/kingsbarnsdistillery,,"Lowlands, United Kingdom",2014,,operational,www.kingsbarnsdistillery.com,Yes,,single malt,,,-2.6425,56.28762,https://whiskey-map.com/distillery/kingsbarns/113
Kininvie,,,"Speyside, United Kingdom",1990,,operational,www.wgrant.com,,,single malt,,,-3.12705,57.45967,https://whiskey-map.com/distillery/kininvie/114
Knockando,,,"Speyside, United Kingdom",1898,,operational,,,1.800.000 l.,single malt,,,-3.34351,57.45674,https://whiskey-map.com/distillery/knockando/115
Lagg,https://www.instagram.com/laggwhiskyofficial,,,,Isle of Arran Distillers Ltd,operational,www.laggwhisky.com,Yes,,single malt,barley,,-5.24817,55.44576,https://whiskey-map.com/distillery/lagg/116
Lagavulin,https://www.instagram.com/lagavulinwhisky,,,,,operational,www.malts.com/en-gb/brands/lagavulin,Yes,,single malt,barley,,-6.12615,55.63561,https://whiskey-map.com/distillery/lagavulin/117
Laphroaig,https://www.instagram.com/laphroaig,,"Islay, United Kingdom",1815,,operational,www.laphroaig.com,Yes,3.300.000 l.,single malt,barley,The Kilbride Stream,-6.15215,55.63015,https://whiskey-map.com/distillery/laphroaig/118
Lindores Abbey,https://www.instagram.com/lindoresabbeydistillery,,"Lowlands, United Kingdom",,,operational,lindoresabbeydistillery.com,,,single malt,,,-3.22513,56.35188,https://whiskey-map.com/distillery/lindores-abbey/119
Linkwood,,,"Speyside, United Kingdom",1821,,operational,www.diageo.com,,2.500.000 l.,single malt,,,-3.28652,57.63554,https://whiskey-map.com/distillery/linkwood/120
Lochlea,https://www.instagram.com/lochleawhisky,,,,,operational,www.lochleadistillery.com,No,,single malt,barley,local source,-4.44958,55.54023,https://whiskey-map.com/distillery/lochlea/121
Loch Lomond,https://www.instagram.com/lochlomondmalts,,"Highlands, United Kingdom",1964,,operational,www.lochlomondgroup.com,,3.000.000 l.,single malt,,,-4.57657,55.99248,https://whiskey-map.com/distillery/loch-lomond/122
Royal Lochnagar,https://www.instagram.com/royallochnagar.distillery,,"Highlands, United Kingdom",1845,,operational,www.royallochnagardistillery.com,,450.000 l.,single malt,,,-3.2087,57.03018,https://whiskey-map.com/distillery/royal-lochnagar/123
Longmorn,,,"Speyside, United Kingdom",1893,,operational,,,3.500.000 l.,single malt,,,-3.28227,57.60869,https://whiskey-map.com/distillery/longmorn/124
Macduff,,,"Highlands, United Kingdom",1960,Bacardi Ltd,operational,www.masterofmalt.com/distilleries/macduff-whisky-distillery,No,2.400.000 l.,single malt,,,-2.51145,57.65804,https://whiskey-map.com/distillery/macduff/125
Mannochmore,,,"Speyside, United Kingdom",1971,,operational,,,,single malt,,,-3.31134,57.60095,https://whiskey-map.com/distillery/mannochmore/126
Miltonduff,,,"Speyside, United Kingdom",1824,Pernod Ricard,operational,-,Yes,,single malt,,,-3.36937,57.62385,https://whiskey-map.com/distillery/miltonduff/127
Mortlach,https://www.instagram.com/mortlach_whisky,,"Speyside, United Kingdom",1823,Diageo,operational,www.mortlach.com,Yes,3.700.000 l.,single malt,,,-3.12321,57.44308,https://whiskey-map.com/distillery/mortlach/128
Nc'nean,https://www.instagram.com/ncnean,,"Highlands, United Kingdom",2017,,operational,www.ncnean.com/,,,single malt,,,-5.99007,56.62374,https://whiskey-map.com/distillery/ncnean/129
Raasay,https://www.instagram.com/raasaydistillery,,"Islands, United Kingdom",2014,,operational,raasaydistillery.com,Yes,,single malt,,,-6.07424,57.3521,https://whiskey-map.com/distillery/raasay/130
Scapa,https://www.instagram.com/scapawhisky,,"Islands, United Kingdom",1885,,operational,www.scapawhisky.com,Yes,1.000.000 l.,single malt,,,-2.98535,58.96321,https://whiskey-map.com/distillery/scapa/131
Speyburn,https://www.instagram.com/speyburn_whisky,,,,Inver House Distillers,operational,www.speyburn.com,Yes,1.000.000 l.,single malt,barley,Granty Burn,-3.21609,57.53655,https://whiskey-map.com/distillery/speyburn/132
Strathearn,,,"Highlands, United Kingdom",2013,,operational,www.strathearndistillery.com,,,single malt,,,-3.62054,56.39604,https://whiskey-map.com/distillery/strathearn/133
Strathisla,,,"Speyside, United Kingdom",1786,,operational,www.maltwhiskydistilleries.com/strathisla,,2.400.000 l.,single malt,,,-2.95396,57.54671,https://whiskey-map.com/distillery/strathisla/134
Strathmill,,,"Speyside, United Kingdom",1891,,operational,scotchwhisky.com/whiskypedia/1895/strathmill,,1.800.000 l.,single malt,,,-2.96172,57.54049,https://whiskey-map.com/distillery/strathmill/135
Tamdhu,https://www.instagram.com/tamdhuwhisky,,,,-,operational,www.tamdhu.com,No,4.500.000 l.,single malt,barley,,-3.35436,57.45854,https://whiskey-map.com/distillery/tamdhu/136
Tamnavulin,,,,,,operational,www.tamnavulinwhisky.com/the-distillery,,4.000.000 l.,single malt,barley,local source,-3.30835,57.31813,https://whiskey-map.com/distillery/tamnavulin/137
Teaninich,,,"Highlands, United Kingdom",1817,,operational,scotchwhisky.com/whiskypedia/1899/teaninich,,,single malt,,,-4.26055,57.69162,https://whiskey-map.com/distillery/teaninich/138
Tomintoul,https://www.instagram.com/tomintoulwhisky,,"Speyside, United Kingdom",1964,,operational,www.tomintoulwhisky.com,Yes,3.300.000 l.,single malt,,,-3.41204,57.31231,https://whiskey-map.com/distillery/tomintoul/139
Tormore,,,"Speyside, United Kingdom",1958,,operational,www.tormoredistillery.com,,3.700.000 l.,single malt,,,-3.40845,57.39808,https://whiskey-map.com/distillery/tormore/140
Tullibardine,https://www.instagram.com/TullibardineWhisky,,"Highlands, United Kingdom",1949,Picard Vins & Spiritueux,operational,www.tullibardine.com,Yes,2.700.000 l.,single malt,,,-3.78514,56.25826,https://whiskey-map.com/distillery/tullibardine/141
Wolfburn,https://www.instagram.com/wolfburn_whisky,,,,-,operational,www.wolfburn.com,Yes,115.000 l.,single malt,barley,Wolf Burn river,-3.55088,58.59574,https://whiskey-map.com/distillery/wolfburn/142
